Player,Matches_x,Innings_x,Not Out,Runs_x,Highest Score,Average_x,Balls Faced,Strike Rate_x,100,50,0,4s,6s,Batting Position,Boundary %,Matches_y,Innings_y,Balls,Overs,Maidens,Runs_y,Wickets,Average_y,Economy,Strike Rate_y,4 wickets,5 wickets
C Green (MI),16.0,16.0,7.0,452.0,100*,50.22,282.0,160.28,1.0,2.0,0.0,40.0,22.0,3.0,64.60176991,16.0,16.0,228.0,38.0,0.0,361.0,6.0,60.16,9.5,38.0,0.0,0.0
H Klaasen (SRH),12.0,11.0,2.0,448.0,104,49.77,253.0,177.07,1.0,2.0,0.0,32.0,25.0,5.0,62.05357143,,,,,,,,,,,,
VR Iyer (KKR),14.0,14.0,0.0,404.0,104,28.85,277.0,145.84,1.0,2.0,1.0,32.0,21.0,3.0,62.87128713,,,,,,,,,,,,
Prabhsimran Singh (PBKS),14.0,14.0,0.0,358.0,103,25.57,238.0,150.42,1.0,1.0,2.0,38.0,19.0,3.0,74.30167598,,,,,,,,,,,,
HC Brook (SRH),11.0,11.0,2.0,190.0,100*,21.11,154.0,123.37,1.0,0.0,3.0,23.0,4.0,5.0,61.05263158,,,,,,,,,,,,
PP Chawla (MI),,,,,,,,,,,,,,,,16.0,16.0,366.0,61.0,0.0,495.0,22.0,22.5,8.11,16.63,0.0,0.0
TU Deshpande (CSK),,,,,,,,,,,,,,,,16.0,16.0,341.0,56.5,0.0,564.0,21.0,26.85,9.92,16.23,0.0,0.0
M Pathirana (CSK),,,,,,,,,,,,,,,,12.0,12.0,278.0,46.2,0.0,371.0,19.0,19.52,8.0,14.63,0.0,0.0
Noor Ahmad (GT),,,,,,,,,,,,,,,,13.0,13.0,283.0,47.1,0.0,369.0,16.0,23.06,7.82,17.68,0.0,0.0
Ravi Bishnoi (LSG),,,,,,,,,,,,,,,,15.0,14.0,303.0,50.3,0.0,391.0,16.0,24.43,7.74,18.93,0.0,0.0
JP Behrendorff (MI),,,,,,,,,,,,,,,,12.0,12.0,252.0,42.0,0.0,387.0,14.0,27.64,9.21,18.0,0.0,0.0
HV Patel (RCB),,,,,,,,,,,,,,,,14.0,13.0,282.0,47.0,0.0,454.0,14.0,32.42,9.65,20.14,0.0,0.0
DL Chahar (CSK),,,,,,,,,,,,,,,,10.0,10.0,204.0,34.0,0.0,297.0,13.0,22.84,8.73,15.69,0.0,0.0
SP Narine (KKR),,,,,,,,,,,,,,,,14.0,14.0,288.0,48.0,0.0,383.0,11.0,34.81,7.97,26.18,0.0,0.0
I Sharma (DC),,,,,,,,,,,,,,,,8.0,8.0,150.0,25.0,0.0,206.0,10.0,20.6,8.24,15.0,0.0,0.0
KV Sharma (RCB),,,,,,,,,,,,,,,,7.0,7.0,129.0,21.3,0.0,223.0,10.0,22.3,10.37,12.9,0.0,0.0
Suyash Sharma (KKR),,,,,,,,,,,,,,,,11.0,11.0,234.0,39.0,0.0,321.0,10.0,32.1,8.23,23.4,0.0,0.0
Sandeep Sharma (RR),,,,,,,,,,,,,,,,12.0,12.0,276.0,46.0,0.0,396.0,10.0,39.6,8.6,27.6,0.0,0.0
T Natarajan (SRH),,,,,,,,,,,,,,,,12.0,12.0,270.0,45.0,0.0,410.0,10.0,41.0,9.11,27.0,0.0,0.0
WD Parnell (RCB),,,,,,,,,,,,,,,,7.0,7.0,151.0,25.1,0.0,236.0,9.0,26.22,9.37,16.77,0.0,0.0
V Vyshak (RCB),,,,,,,,,,,,,,,,7.0,7.0,144.0,24.0,0.0,253.0,9.0,28.11,10.54,16.0,0.0,0.0
A Zampa (RR),,,,,,,,,,,,,,,,6.0,6.0,132.0,22.0,0.0,188.0,8.0,23.5,8.54,16.5,0.0,0.0
Avesh Khan (LSG),,,,,,,,,,,,,,,,9.0,9.0,174.0,29.0,0.0,283.0,8.0,35.36,9.75,21.75,0.0,0.0
RD Chahar (PBKS),,,,,,,,,,,,,,,,14.0,14.0,298.0,49.4,0.0,385.0,8.0,48.12,7.75,37.25,0.0,0.0
A Mishra (LSG),,,,,,,,,,,,,,,,7.0,7.0,114.0,19.0,0.0,149.0,7.0,21.28,7.84,16.28,0.0,0.0
RP Meredith (MI),,,,,,,,,,,,,,,,5.0,5.0,118.0,19.4,0.0,207.0,7.0,29.57,10.52,16.85,0.0,0.0
AS Joseph (GT),,,,,,,,,,,,,,,,7.0,7.0,144.0,24.0,0.0,225.0,7.0,32.14,9.37,20.57,0.0,0.0
